grid_point,index,value,sampled_n
gp_169,N2,6.521414338249684,40
gp_169,E10,0.6641592245418475,40
gp_169,E20,0.46787166379359996,40
gp_17,N0,11.277,40
gp_17,N1,6.856068059891166,40
gp_17,N2,5.071932793971744,40
gp_17,E10,0.6117649771045882,40
gp_17,E20,0.45586487685239785,40
gp_170,N0,15.277,40
gp_170,N1,8.87862627336951,40
gp_170,N2,5.795629714296101,40
gp_170,E10,0.583089242168844,40
gp_170,E20,0.3827787596464683,40
gp_171,N0,22.105,40
gp_171,N1,14.937327315739138,40
gp_171,N2,11.492413436777023,40
gp_171,E10,0.6769191314800307,40
gp_171,E20,0.5219967269720871,40
gp_172,N0,10.638,40
gp_172,N1,8.2181208884808,40
gp_172,N2,6.76945560254285,40
gp_172,E10,0.7741410946632789,40
gp_172,E20,0.6400659637691316,40
gp_173,N0,10.631,40
gp_173,N1,7.1174279452540485,40
gp_173,N2,5.353491787477602,40
gp_173,E10,0.6716486481817966,40
gp_173,E20,0.5077005933477751,40
gp_174,N0,7.766,40
gp_174,N1,6.045107568975996,40
gp_174,N2,5.083714249938261,40
gp_174,E10,0.780900613816072,40
gp_174,E20,0.6590513114207572,40
gp_175,N0,8.083,40
gp_175,N1,5.33325964871663,40
gp_175,N2,4.291572694392864,40
gp_175,E10,0.6671714528438428,40
gp_175,E20,0.5393116786114188,40
gp_176,N0,6.153,40
gp_176,N1,2.916416828419295,40
gp_176,N2,2.002127555667922,40
gp_176,E10,0.47784679867062235,40
gp_176,E20,0.33043918619468055,40
gp_177,N0,6.25,40
gp_177,N1,3.4921652956003695,40
gp_177,N2,2.7016796975062376,40
gp_177,E10,0.5678616574982546,40
gp_177,E20,0.44402064967072835,40
gp_178,N0,3.536,40
gp_178,N1,2.4825358714080212,40
gp_178,N2,2.0685175949620915,40
gp_178,E10,0.7161821356983239,40
gp_178,E20,0.6003873156073719,40
gp_179,N0,11.206,40
gp_179,N1,7.758827577088475,40
gp_179,N2,6.168005553487954,40
gp_179,E10,0.6956493073380583,40
gp_179,E20,0.5552526181424625,40
gp_18,N0,8.636,40
gp_18,N1,5.256806704828843,40
gp_18,N2,4.116140830181178,40
gp_18,E10,0.6151945472431952,40
gp_18,E20,0.48518719144456957,40
gp_180,N0,8.746,40
gp_180,N1,6.450756759446796,40
gp_180,N2,5.15285049265856,40
gp_180,E10,0.739812044802872,40
gp_180,E20,0.5931648262523047,40
gp_181,N0,15.217,40
gp_181,N1,10.688522191950259,40
gp_181,N2,8.568922516164484,40
gp_181,E10,0.7053790469724287,40
gp_181,E20,0.5669324856942755,40
gp_182,N0,14.895,40
gp_182,N1,8.554368504450764,40
gp_182,N2,5.883178163522567,40
gp_182,E10,0.576805916849329,40
gp_182,E20,0.39908075065664417,40
gp_183,N0,17.159,40
gp_183,N1,9.429973699250567,40
gp_183,N2,6.26483136833549,40
gp_183,E10,0.5506026314701327,40
gp_183,E20,0.36711043562090495,40
gp_184,N0,9.529,40
gp_184,N1,4.961678299213264,40
gp_184,N2,3.3367685665887756,40
gp_184,E10,0.5253461210467758,40
gp_184,E20,0.35555588643822855,40
gp_185,N0,9.918,40
gp_185,N1,6.238942952583335,40
gp_185,N2,4.863419536288906,40
gp_185,E10,0.6336041730464615,40
